source,dimension,n,mean_auto_minus_human,median_auto_minus_human,mean_abs_gap,sd_gap
api_mean_full810,fa,180,-1.440648148148148,-0.916666666666667,1.6510802469135804,1.6565539958338755
api_mean_full810,cc,180,-1.810956790123457,-1.5,1.860216049382716,1.2979937288116348
api_mean_full810,lc,180,-0.7686728395061728,-0.0277777777777776,1.5090432098765434,1.8409691598100848
api_mean_full810,tf,180,-1.147993827160494,-0.5055555555555558,1.5673148148148148,1.77602895088004
api_mean_full810,mq,180,-0.8196604938271606,-0.3083333333333333,1.4909567901234566,1.7164002597516683
api_mean_full810,risk,180,0.5256172839506174,0.3611111111111111,0.9312345679012344,1.0509738173978522
web_interface_mean,fa,180,0.5024537037037037,0.4000000000000003,0.5145216049382716,0.4893422608442428
web_interface_mean,cc,180,0.4768827160493826,0.375,0.5995061728395061,0.6345618085236284
web_interface_mean,lc,180,0.8268364197530865,0.75,0.8280709876543212,0.5826512494084349
web_interface_mean,tf,180,0.8482716049382715,0.75,0.8482716049382715,0.6153182558083746
web_interface_mean,mq,180,0.7461882716049382,0.6555555555555559,0.804645061728395,0.655457508696191
web_interface_mean,risk,180,-0.8020833333333334,-0.8,0.8048611111111111,0.5276908578659234
