rater_id,source_file,domain,duration_seconds,age_or_year_self_report,education_self_report,role_self_report,field_self_report,familiarity,included_primary
N20260530_01_01,batch_01,Chemistry,1665,25-30岁,其他,硕士研究生,药物化学,4,True
N20260530_01_02,batch_01,Chemistry,2263,25-30岁,硕士,硕士研究生,分析化学,3,True
N20260530_01_03,batch_01,Chemistry,2818,18-24岁,硕士,硕士研究生,科学传播,4,True
N20260530_01_04,batch_01,Chemistry,753,31-40岁,硕士,中小学或科普教育从业者,中学化学教育,5,True
N20260530_02_01,batch_02,Geoscience,515,18-24岁,硕士,其他,遥测,5,True
N20260530_02_02,batch_02,Geoscience,956,18-24岁,硕士,硕士研究生,科学传播,4,True
N20260530_02_03,batch_02,Geoscience,827,18-24岁,硕士,硕士研究生,现当代文学,1,False
N20260530_02_04,batch_02,Geoscience,1484,18-24岁,硕士,硕士研究生,虚拟社区,2,False
N20260530_03_01,batch_03,Biology,2536,18-24岁,其他,其他,生物科学（师范）,3,True
N20260530_03_02,batch_03,Biology,902,18-24岁,其他,中小学或科普教育从业者,生物科学师范,4,True
N20260530_03_03,batch_03,Biology,2459,18-24岁,硕士,硕士研究生,科学高中背景下高中生能力培养研究路径,4,True
N20260530_03_04,batch_03,Biology,1075,25-30岁,硕士,硕士研究生,学科教学（生物）,4,True
N20260530_03_05,batch_03,Biology,740,31-40岁,其他,中小学或科普教育从业者,初中生物学,4,True
N20260530_04_01,batch_04,Climate/Environment,4397,18-24岁,其他,其他,大气科学,3,True
N20260530_04_02,batch_04,Climate/Environment,1657,18-24岁,其他,其他,大气科学,3,True
N20260530_04_03,batch_04,Climate/Environment,423,18-24岁,硕士,硕士研究生,大气科学雷电物理方向,2,False
N20260530_04_04,batch_04,Climate/Environment,1048,18-24岁,硕士,硕士研究生,古气候学,4,True
N20260530_04_05,batch_04,Climate/Environment,1351,18-24岁,其他,其他,气象学,3,True
N20260530_05_01,batch_05,Physics,2174,18-24岁,其他,其他,应用物理学,3,True
N20260530_05_02,batch_05,Physics,2629,18-24岁,硕士,硕士研究生,光量子精密测量,3,True
N20260530_05_03,batch_05,Physics,1591,18-24岁,硕士,硕士研究生,科学传播、新闻传播,4,True
N20260530_05_04,batch_05,Physics,925,18-24岁,硕士,硕士研究生,科技传播,3,True
