judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,n,mean_quality,mean_risk,risk_eq_1_rate,risk_le_2_rate,spearman_quality_vs_expert,pearson_quality_vs_expert,spearman_risk_vs_expert,pearson_risk_vs_expert,mean_abs_quality_gap,mean_abs_risk_gap,prompt_tokens,completion_tokens,mean_fa,gap_fa_api_minus_expert,mean_cc,gap_cc_api_minus_expert,mean_lc,gap_lc_api_minus_expert,mean_tf,gap_tf_api_minus_expert,mean_mq,gap_mq_api_minus_expert,gap_risk_api_minus_expert
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,180,2.2222222222222223,3.566666666666667,0.0,0.2111111111111111,-0.23589158293814114,-0.17217389258643115,-0.05400609041693783,-0.010264441117928753,2.0889506172839503,1.8935185185185188,213053.0,31723.0,2.533333333333333,-1.9722222222222223,1.6833333333333333,-2.640740740740741,2.466666666666667,-1.82962962962963,2.15,-2.212037037037037,2.2777777777777777,-1.75,1.8490740740740743
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,180,2.781111111111111,2.8055555555555554,0.25,0.6055555555555555,-0.18810205647024153,-0.19522784046376335,-0.055480656508114956,-0.053919168644574585,1.6391975308641975,1.5472222222222223,137834.0,16920.0,2.811111111111111,-1.6944444444444444,2.0722222222222224,-2.2518518518518515,3.2222222222222223,-1.074074074074074,2.988888888888889,-1.373148148148148,2.811111111111111,-1.2166666666666666,1.0879629629629632
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,180,2.8577777777777778,3.0166666666666666,0.15,0.5055555555555555,-0.22743763450931304,-0.2167450192335543,-0.08544328184895582,-0.06306772275300404,1.6204938271604936,1.625,159792.0,23220.0,3.066666666666667,-1.4388888888888889,1.9777777777777779,-2.346296296296296,3.4944444444444445,-0.8018518518518517,2.922222222222222,-1.4398148148148147,2.827777777777778,-1.2,1.2990740740740743
gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,180,3.3188888888888886,1.55,0.6666666666666666,0.8777777777777778,-0.2219056828013626,-0.22825534067983513,0.14665310808191845,0.10169704079771393,1.497222222222222,0.7935185185185184,152814.0,20739.0,3.433333333333333,-1.0722222222222222,2.761111111111111,-1.5629629629629629,3.6777777777777776,-0.6185185185185185,3.3222222222222224,-1.0398148148148147,3.4,-0.6277777777777778,-0.16759259259259257
glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,180,3.02,1.4944444444444445,0.7277777777777777,0.8055555555555556,-0.22005450286352107,-0.2361338945872168,0.11544055208253248,0.05004398787033753,1.634506172839506,0.7990740740740739,149214.0,187905.0,3.1944444444444446,-1.3111111111111111,2.4722222222222223,-1.8518518518518516,3.522222222222222,-0.7740740740740739,3.1166666666666667,-1.2453703703703702,2.7944444444444443,-1.2333333333333334,-0.2231481481481481
kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,180,3.0266666666666664,1.7222222222222223,0.5944444444444444,0.7277777777777777,-0.26412652084696386,-0.2531861869029103,0.0824763336752223,0.04712167926450171,1.5415432098765431,0.8583333333333333,135524.0,505214.0,3.0388888888888888,-1.4666666666666666,2.388888888888889,-1.9351851851851851,3.561111111111111,-0.735185185185185,3.111111111111111,-1.2509259259259258,3.033333333333333,-0.9944444444444445,0.004629629629629658
mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,180,2.8144444444444447,1.511111111111111,0.6777777777777778,0.8888888888888888,-0.200445591554241,-0.20073394464998712,0.1132528913630515,0.12136758502589591,1.7139506172839507,0.7824074074074073,145753.0,18180.0,2.95,-1.5555555555555556,2.0833333333333335,-2.2407407407407405,3.0722222222222224,-1.2240740740740739,2.9722222222222223,-1.3898148148148146,2.9944444444444445,-1.0333333333333334,-0.20648148148148146
openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,180,3.0833333333333335,2.783333333333333,0.15555555555555556,0.5555555555555556,-0.2258537078679016,-0.22949084775430934,-0.08979867502732435,-0.07651881080967526,1.4729012345679011,1.4046296296296295,188081.0,99160.0,2.9722222222222223,-1.5333333333333334,2.338888888888889,-1.9851851851851852,3.7333333333333334,-0.5629629629629629,3.311111111111111,-1.0509259259259258,3.061111111111111,-0.9666666666666667,1.0657407407407407
qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,180,3.1077777777777778,2.6055555555555556,0.4166666666666667,0.6055555555555555,-0.22804610431523142,-0.22016105777562142,-0.07498845935793967,-0.03946669091663422,1.5416049382716048,1.5379629629629628,147444.0,66240.0,3.3666666666666667,-1.1388888888888888,2.261111111111111,-2.062962962962963,3.4944444444444445,-0.8018518518518517,3.111111111111111,-1.2509259259259258,3.3055555555555554,-0.7222222222222222,0.8879629629629628
