reference,domain,metric,n_raters,mean_pairwise_spearman,median_pairwise_spearman,n_pairs
all50,Biology,quality5,10,0.14537163424922198,0.1370626522020269,45
all50,Biology,risk,10,0.24664944889406235,0.22965846344665783,45
all50,Chemistry,quality5,10,0.016453156896343288,0.018576127180080046,45
all50,Chemistry,risk,10,-0.028632699868831785,0.0,36
all50,Climate/Environment,quality5,10,-0.001752651575572184,-0.04249487081546461,45
all50,Climate/Environment,risk,10,-0.028426953443705837,-0.025863030005593583,45
all50,Geoscience,quality5,10,0.6215154845306934,0.7422680477204431,45
all50,Geoscience,risk,10,0.4414893673198076,0.4873552010565884,45
all50,Physics,quality5,10,0.6217845481997515,0.8870361056604723,45
all50,Physics,risk,10,0.5614090052629541,0.7997036266447233,45
primary48,Biology,quality5,10,0.14537163424922198,0.1370626522020269,45
primary48,Biology,risk,10,0.24664944889406235,0.22965846344665783,45
primary48,Chemistry,quality5,10,0.016453156896343288,0.018576127180080046,45
primary48,Chemistry,risk,10,-0.028632699868831785,0.0,36
primary48,Climate/Environment,quality5,10,-0.001752651575572184,-0.04249487081546461,45
primary48,Climate/Environment,risk,10,-0.028426953443705837,-0.025863030005593583,45
primary48,Geoscience,quality5,8,0.7888701411573732,0.7950754909405929,28
primary48,Geoscience,risk,8,0.6185098790316188,0.6207407911217172,28
primary48,Physics,quality5,10,0.6217845481997515,0.8870361056604723,45
primary48,Physics,risk,10,0.5614090052629541,0.7997036266447233,45
