reference,comparison,n,spearman_r,spearman_p,spearman_ci_low,spearman_ci_high,pearson_r,pearson_p
all50,web_quality,180,-0.044455793537761475,0.553465673026097,-0.19997502972703168,0.09939858892467691,0.008098736566616763,0.9140744272632765
all50,web_risk,180,0.22920480342060084,0.001968190845675364,0.09362513273257733,0.3419959867860171,0.31108096040903854,2.133358318008319e-05
all50,api_quality,180,-0.15513891309315703,0.03757016430298407,-0.2873224304026951,-0.018434293604203296,-0.15766244683299258,0.034535292486263185
all50,api_risk,180,-0.11580830566445703,0.12159327025876113,-0.25816330204344673,0.016375256880716643,-0.01994938460260544,0.7903848505936787
all50,web_science3_quality,180,-0.009252204364543276,0.9018939344233409,-0.16162395582124944,0.14182110430963035,0.01737463139504723,0.8169274454104248
all50,dimension_gap_fa,180,,,,,0.7210648148148149,0.5447718833037042
all50,dimension_gap_cc,180,,,,,0.5054938271604937,0.6194492081689181
all50,dimension_gap_lc,180,,,,,0.878780864197531,0.4586712506252773
all50,dimension_gap_tf,180,,,,,1.0185493827160492,0.6386847334971245
all50,dimension_gap_mq,180,,,,,0.7942438271604938,0.699469961713463
all50,dimension_gap_risk,180,,,,,-0.6581944444444444,0.47344178106711726
all50,web_risk_floor_exact,180,0.9388888888888889,167.0,1.6700000000000002,0.48633850316914506,1.0,4.9
primary48,web_quality,180,-0.031212818361580873,0.6774481566605112,-0.1834013157763251,0.11328063733399761,0.020541852816600533,0.7843099950608888
primary48,web_risk,180,0.23185324744489888,0.0017376547787552104,0.09808086861596836,0.342295736386626,0.30270838305729764,3.623079340194861e-05
primary48,api_quality,180,-0.15878516237010656,0.0332533537548953,-0.28897920024279516,-0.02265701599128057,-0.16382331477274137,0.027986460612288794
primary48,api_risk,180,-0.12449155080119878,0.09589735682154593,-0.26703422245572267,0.006032350166706149,-0.03126042846459869,0.6769837154212563
primary48,web_science3_quality,180,-0.0007043565347913868,0.992512681121989,-0.149595705954932,0.1474852641041188,0.02912521831163624,0.6979302850472321
primary48,dimension_gap_fa,180,,,,,0.7303703703703706,0.5746018662010239
primary48,dimension_gap_cc,180,,,,,0.5028549382716049,0.629218807098938
primary48,dimension_gap_lc,180,,,,,0.8822530864197532,0.4839868357691296
primary48,dimension_gap_tf,180,,,,,1.026327160493827,0.6424824351885358
primary48,dimension_gap_mq,180,,,,,0.8057716049382716,0.7059136966685428
primary48,dimension_gap_risk,180,,,,,-0.6431944444444445,0.4992583017873409
primary48,web_risk_floor_exact,180,0.9388888888888889,162.0,1.6549999999999998,0.5118525341929807,1.0,4.9
