task,domain,items,quality_gap,risk_gap,mq_gap,lc_gap,tf_gap,fa_gap,cc_gap
A,Biology,12,0.8444444444444447,-0.9722222222222222,1.6145833333333337,0.9629629629629631,0.777777777777778,0.75,0.4708333333333334
A,Chemistry,12,0.33194444444444443,-0.23148148148148148,0.3733796296296297,0.670138888888889,0.5416666666666666,0.639814814814815,0.15000000000000005
A,Climate/Environment,12,0.188425925925926,-0.20833333333333334,-0.09791666666666665,0.44212962962962976,0.5416666666666666,0.3333333333333333,0.36851851851851847
A,Geoscience,12,0.6328703703703703,-0.861111111111111,0.5620370370370372,0.9675925925925929,1.0000000000000002,0.4722222222222223,0.5041666666666669
A,Physics,12,0.5196759259259257,-1.4583333333333333,0.3490740740740741,0.8356481481481483,0.625,0.3148148148148149,0.14629629629629623
B,Biology,12,1.1282407407407409,-1.1574074074074072,1.811574074074074,1.240740740740741,1.027777777777778,0.988425925925926,0.7254629629629631
B,Chemistry,12,0.242824074074074,-0.4166666666666667,0.11620370370370374,0.3229166666666667,0.4583333333333333,0.5333333333333333,-0.19699074074074074
B,Climate/Environment,12,0.3893518518518519,-0.25,0.04421296296296292,0.5668981481481482,0.7333333333333334,0.375,0.6155092592592593
B,Geoscience,12,0.572685185185185,-0.7222222222222222,0.4993055555555555,0.7245370370370371,1.0,0.4618055555555554,0.3560185185185185
B,Physics,12,0.74375,-1.375,0.6168981481481481,0.7303240740740741,0.7083333333333334,0.6666666666666666,0.5053240740740741
C,Biology,12,0.26157407407407424,-0.13425925925925922,1.164351851851852,0.3888888888888889,0.4166666666666666,0.02314814814814814,-0.2546296296296298
C,Chemistry,12,0.07407407407407403,-0.375,-0.15509259259259264,0.3067129629629631,0.4375,0.46875,-0.3854166666666667
C,Climate/Environment,12,0.03819444444444442,-0.14814814814814814,-0.14814814814814814,0.34490740740740744,0.24074074074074078,0.3148148148148148,-0.11689814814814821
C,Geoscience,12,0.1377314814814816,-0.5555555555555555,0.011574074074074034,0.5636574074074076,0.3055555555555555,0.19444444444444434,-0.21296296296296294
C,Physics,12,0.6238425925925924,-1.7210648148148149,0.48495370370370366,0.8275462962962964,0.7083333333333334,0.6377314814814815,0.17939814814814806
