rater_id,file,identity,field,familiarity,calibration_pass,included_primary
R01_01,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_02,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_03,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_04,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_05,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_06,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_07,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,地理,4,True,True
R01_08,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,科学传播,4,True,True
R01_09,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,现当代文学,1,True,False
R01_10,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx,硕士研究生,虚拟社区,2,True,False
R02_01,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_02,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_03,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_04,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_05,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_06,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_07,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_08,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,大气科学,4,True,True
R02_09,920ce42582db4012aeba61ee82b426d9.xlsx,硕士研究生,古气候学,4,True,True
R02_10,920ce42582db4012aeba61ee82b426d9.xlsx,其他,气象学,3,True,True
R03_01,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_02,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_03,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_04,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_05,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_06,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_07,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,物理,4,True,True
R03_08,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,光量子精密测量,3,True,True
R03_09,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,科学传播、新闻传播,4,True,True
R03_10,ad21f69584e04e708e543860490f7762.xlsx,硕士研究生,科技传播,3,True,True
R04_01,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_02,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_03,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_04,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_05,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_06,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_07,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_08,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_09,d63ee049bcdc4003b8cf470847f082ff.xlsx,硕士研究生,化学,4,True,True
R04_10,d63ee049bcdc4003b8cf470847f082ff.xlsx,中小学或科普教育从业者,中学化学教育,5,True,True
R05_01,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,生物,4,True,True
R05_02,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,生物,3,True,True
R05_03,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,生物制药,4,True,True
R05_04,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,生物教育,4,True,True
R05_05,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,生物教学,4,True,True
R05_06,f7800ffb79904dc18a4e300e24f97b84.xlsx,博士研究生,生物,4,True,True
R05_07,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,学科教育（生物）,4,True,True
R05_08,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,科学高中背景下高中生能力培养研究路径,4,True,True
R05_09,f7800ffb79904dc18a4e300e24f97b84.xlsx,硕士研究生,学科教学（生物）,4,True,True
R05_10,f7800ffb79904dc18a4e300e24f97b84.xlsx,中小学或科普教育从业者,初中生物学,4,True,True
